,Network,Model,Time,Objective,Num. Lanes,L,Integer Vars.,Continuous Vars.,Num. Constraints
0,test_9,LP,2.140045166015625,135896.22929696005,61.0,3,0,286,236
1,test_9,LP,2.090930938720703,136181.11162099885,61.0,5,0,338,288
2,test_9,LP,2.5739669799804688,120354.18074756347,61.0,7,0,390,340
3,EMA,LP,1.692056655883789,1564209.6520426478,105.0,3,0,384,257
4,EMA,LP,2.187967300415039,970230.837911026,105.0,5,0,432,305
5,EMA,LP,2.3288726806640625,903670.5192189426,105.0,7,0,480,353
6,SiouxFalls,LP,36.32497787475586,1978105776.0852044,506.0,3,0,2432,1185
7,SiouxFalls,LP,46.90909385681152,1998263256.2271144,506.0,5,0,2584,1337
8,SiouxFalls,LP,53.617000579833984,2062457065.3708375,506.0,7,0,2736,1489
9,EMA_mid,LP,154.04701232910156,2642465.221772715,580.9999999999999,3,0,16512,6209
10,EMA_mid,LP,276.8371105194092,1634764.450358024,581.0,5,0,17028,6725
11,EMA_mid,LP,290.8790111541748,1555972.549076911,581.0,7,0,17544,7241
12,Anaheim,LP,1073.9130973815918,75836508.30761369,4213.999999999999,3,0,56912,24891
13,Anaheim,LP,1882.7269077301025,59539524.3417751,4214.0,5,0,58740,26719
14,Anaheim,LP,2021.601915359497,59092312.358027734,4214.000000000001,7,0,60568,28547
15,NYC,LP,30178.975105285645,2852447.6989455177,17870.0,3,0,458538,164811
16,NYC,LP,56658.51593017578,2474169.020355654,17869.999999999996,5,0,464812,171085
17,NYC,LP,68534.7490310669,2466435.93663713,17870.0,7,0,471086,177359
18,test_9,QP,3.1549930572509766,213170654.96802983,61.0,3,0,286,236
19,test_9,QP,4.30607795715332,213096266.7280916,61.0,5,0,338,288
20,test_9,QP,5.326986312866211,213097549.72130692,61.0,7,0,390,340
21,EMA,QP,3.545045852661133,1255929.9652331127,105.0,3,0,384,257
22,EMA,QP,4.972934722900391,938328.2579469078,105.0,5,0,432,305
23,EMA,QP,5.548954010009766,921267.2562749353,104.99999999999999,7,0,480,353
24,SiouxFalls,QP,91.33410453796387,18656203714.1574,505.99999999999994,3,0,2432,1185
25,SiouxFalls,QP,123.08120727539062,18636963955.26623,505.99999999999994,5,0,2584,1337
26,SiouxFalls,QP,120.6049919128418,18692779797.074223,506.00000000000006,7,0,2736,1489
27,EMA_mid,QP,402.8770923614502,6490042.682322805,581.0,3,0,16512,6209
28,EMA_mid,QP,478.0120849609375,5961093.983637409,580.9999999999999,5,0,17028,6725
29,EMA_mid,QP,588.0870819091797,5942134.985497643,581.0,7,0,17544,7241
30,Anaheim,QP,1420.9818840026855,130857675.86497766,4213.999999999998,3,0,56912,24891
31,Anaheim,QP,1522.9811668395996,124540124.69626352,4214.000000000001,5,0,58740,26719
32,Anaheim,QP,1559.730052947998,124371549.22416407,4214.000000000001,7,0,60568,28547
33,NYC,QP,67486.6189956665,563429939.018642,17870.0,3,0,458538,164811
34,NYC,QP,85796.0410118103,563243635.3566685,17869.999999999996,5,0,464812,171085
35,NYC,QP,74356.89997673035,563238396.3563318,17869.999999999996,7,0,471086,177359
36,test_9,MILP,5.560159683227539,136006.40866736707,61.0,3,26,260,236
37,test_9,MILP,5.787849426269531,120465.92091910947,61.0,5,26,312,288
38,test_9,MILP,4.425048828125,121910.68207772721,61.0,7,26,364,340
39,EMA,MILP,5.156993865966797,1564428.3630521167,105.0,3,24,360,257
40,EMA,MILP,4.015922546386719,918510.6535395917,105.0,5,24,408,305
41,EMA,MILP,12.194156646728516,903995.23216982,105.0,7,24,456,353
42,SiouxFalls,MILP,40.23098945617676,1978105776.0852046,506.0,3,76,2356,1185
43,SiouxFalls,MILP,47.445058822631836,2007301437.0344572,506.0,5,76,2508,1337
44,SiouxFalls,MILP,65.53387641906738,2065204778.0369353,506.0,7,76,2660,1489
45,EMA_mid,MILP,315.68384170532227,2642905.4974679975,581.0,3,258,16254,6209
46,EMA_mid,MILP,490.36288261413574,1620111.291781847,581.0,5,258,16770,6725
47,EMA_mid,MILP,492.2480583190918,1560900.1128447913,581.0,7,258,17286,7241
48,Anaheim,MILP,1104.6319007873535,75836508.30762568,4214.0,3,1268,55644,24891
49,Anaheim,MILP,2020.4339027404785,59497589.077610575,4214.0,5,1268,57472,26719
50,Anaheim,MILP,2685.0638389587402,59115082.5737137,4214.0,7,1268,59300,28547
51,NYC,MILP,69788.645029068,2853418.8865716867,17870.0,3,4330,454208,164811
52,NYC,MILP,250996.87504768372,2490782.5028690277,17870.0,5,4330,460482,171085
53,NYC,MILP,143835.0760936737,2470170.025305194,17870.0,7,4330,466756,177359
54,test_9,MIQP,4.904031753540039,213179871.70692086,61.0,3,26,260,236
55,test_9,MIQP,7.714986801147461,213105522.32235503,61.0,5,26,312,288
56,test_9,MIQP,7.725954055786133,213106800.5648632,61.0,7,26,364,340
57,EMA,MIQP,122.4360466003418,1384473.5828064634,105.0,3,24,360,257
58,EMA,MIQP,48.08783531188965,1064936.6486923762,105.0,5,24,408,305
59,EMA,MIQP,22.922039031982422,1047821.3995034448,105.0,7,24,456,353
60,SiouxFalls,MIQP,481.71496391296387,18656332355.08585,506.0,3,76,2356,1185
61,SiouxFalls,MIQP,511.7671489715576,18636999541.95691,506.0,5,76,2508,1337
62,SiouxFalls,MIQP,550.6570339202881,18692724036.14852,506.0,7,76,2660,1489
63,EMA_mid,MIQP,2599.807024002075,6503207.299877421,581.0,3,258,16254,6209
64,EMA_mid,MIQP,1413.1100177764893,5977085.46868269,581.0,5,258,16770,6725
65,EMA_mid,MIQP,1445.7111358642578,5956823.820316525,581.0,7,258,17286,7241
66,Anaheim,MIQP,25963.979959487915,130860232.68455034,4214.0,3,1268,55644,24891
67,Anaheim,MIQP,11204.23698425293,124651583.91251208,4214.0,5,1268,57472,26719
68,Anaheim,MIQP,10983.362913131714,124470012.27531359,4214.0,7,1268,59300,28547
